S.No.,State Code,State Name (In English),District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code
2488,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,930871,2,Vandanapalli,వందనపల్లి,Rural,Inhabitant,0,0
2489,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,936622,2,Tumidiputtu,TUMIDIPUTTU,Rural,Inhabitant,0,0
2490,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583530,2,Raipalli,,Rural,Inhabitant,1453200,583530
2491,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583539,2,Kumbi Guda,,Rural,Inhabitant,1454100,583539
2492,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583540,2,Jangam Puttu,,Rural,Inhabitant,1454200,583540
2493,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583541,2,Vetchangi Puttu,,Rural,Inhabitant,1454300,583541
2494,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583542,2,Bakubeda,,Rural,Inhabitant,1454400,583542
2495,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583543,2,Petumaliputtu,,Rural,Inhabitant,1454500,583543
2496,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583544,2,Muraliputtu,,Rural,Inhabitant,1454600,583544
2497,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583547,2,Peddaputtu,,Unmapped,Inhabitant,1454900,583547
2498,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583548,2,Cheruvu Pakala,,Rural,Inhabitant,1455000,583548
2499,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583549,2,Rangini Konda,,Rural,Inhabitant,1455100,583549
2500,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583550,2,Kinchai Puttu,,Rural,Inhabitant,1455200,583550
2501,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583552,2,Tungi Kota,,Rural,Inhabitant,1455400,583552
2502,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583554,2,Solagam Puttu,,Rural,Inhabitant,1455600,583554
2503,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583555,2,Sarabha Puttu,,Rural,Inhabitant,1455700,583555
2504,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583556,2,Gannelaputtu,,Rural,Inhabitant,1455800,583556
2505,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583557,2,Sariyapalle,,Rural,Inhabitant,1455900,583557
2506,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583563,2,Tussapalli,,Rural,Inhabitant,1456500,583563
2507,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583564,2,Vadlamputtu,,Rural,Inhabitant,1456600,583564
2508,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583565,2,Kujabhangi,,Rural,Inhabitant,1456700,583565
2509,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583566,2,Taddapalli,,Rural,Inhabitant,1456800,583566
2510,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583567,2,Pedapadu,,Rural,Inhabitant,1456900,583567
2511,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583571,2,Ganneda,,Rural,Inhabitant,1457300,583571
2512,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583572,2,Dareli,,Rural,Inhabitant,1457400,583572
2513,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583573,2,Rangilisingi,,Rural,Inhabitant,1457500,583573
2514,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583575,2,Dokiriputtu,,Rural,Inhabitant,1457700,583575
2515,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,936621,2,Ravidiputtu,RAVIDIPUTTU,Rural,Inhabitant,0,0
2516,28,Andhra Pradesh,745,Alluri Sitharama Raju,4841,Munchingi Puttu,583252,2,Mokkaputtu,,Rural,Inhabitant,1425400,583252
